filepath,type,size_bytes,last_modified,related_saps,status
static-template/Dockerfile,docker,5725,2025-10-23T00:18:02.249738,SAP-011,covered
static-template/NAMESPACES.md,documentation,9713,2025-10-23T00:08:11.088542,SAP-007,covered
static-template/.dockerignore,docker,2767,2025-10-27T22:37:13.608804,SAP-011,covered
static-template/ROADMAP.md,documentation,9366,2025-10-25T15:55:14.799410,SAP-002,covered
static-template/.gitignore,tooling,3166,2025-10-23T00:18:02.217116,SAP-003,covered
static-template/docker-compose.yml,config,6245,2025-10-23T00:18:02.213294,SAP-011,covered
static-template/UPGRADING.md,documentation,4634,2025-10-27T22:51:53.978138,SAP-007,covered
static-template/DOCUMENTATION_STANDARD.md,documentation,25316,2025-10-23T00:18:02.493045,SAP-007,covered
static-template/CLAUDE.md,documentation,6969,2025-10-25T18:00:46.411179,SAP-009,covered
scripts/analyze-coverage-gaps.py,code,15467,2025-10-28T11:41:44.212155,SAP-008,covered
scripts/rollback-migration.sh,code,703,2025-10-22T20:56:24.598139,SAP-008,covered
scripts/inventory-chora-base.py,code,14812,2025-10-28T12:00:06.818707,SAP-008,covered
scripts/fix-shell-syntax.sh,code,1172,2025-10-23T00:15:33.439138,SAP-008,covered
inbox/completed/README.md,documentation,8033,2025-10-27T18:23:26.110821,"SAP-001,SAP-002",covered
inbox/coordination/README.md,documentation,8575,2025-10-27T18:24:13.276934,"SAP-001,SAP-002",covered
inbox/coordination/ECOSYSTEM_STATUS.yaml,config,850,2025-10-27T23:00:14.884516,SAP-001,covered
inbox/schemas/implementation-task.schema.json,config,7333,2025-10-27T18:25:34.219486,SAP-001,covered
inbox/schemas/coordination-request.schema.json,config,6392,2025-10-27T18:25:33.191292,SAP-001,covered
inbox/schemas/strategic-proposal.schema.json,config,6024,2025-10-27T18:25:32.168893,SAP-001,covered
inbox/active/README.md,documentation,5667,2025-10-27T18:23:25.089157,"SAP-001,SAP-002",covered
inbox/completed/dry-run-20251027-task-301-broadcast-template/task.json,config,859,2025-10-27T21:30:06.648558,SAP-001,covered
inbox/completed/dry-run-20251027-task-301-broadcast-template/status.md,documentation,179,2025-10-27T21:31:27.403841,SAP-001,covered
inbox/completed/dry-run-20251027-task-301-broadcast-template/change-request.md,documentation,1861,2025-10-27T21:31:06.240492,SAP-001,covered
inbox/completed/dry-run-20251027-coord-101-broadcast-launch/coordination.json,config,933,2025-10-27T21:29:59.185260,SAP-001,covered
inbox/completed/dry-run-20251027-coord-101-broadcast-launch/triage-summary.md,documentation,513,2025-10-27T21:31:33.489611,SAP-001,covered
inbox/ecosystem/deferred/README.md,documentation,2889,2025-10-27T18:20:48.357221,"SAP-001,SAP-002",covered
inbox/ecosystem/rfcs/README.md,documentation,3923,2025-10-27T18:20:46.206401,"SAP-001,SAP-002",covered
inbox/ecosystem/adrs/README.md,documentation,4206,2025-10-27T18:20:47.235193,"SAP-001,SAP-002",covered
inbox/ecosystem/proposals/README.md,documentation,2906,2025-10-27T18:20:45.171869,"SAP-001,SAP-002",covered
inbox/coordination/broadcasts/broadcast-template.md,documentation,1575,2025-10-27T21:40:12.930111,SAP-001,covered
inbox/coordination/CAPABILITIES/README.md,documentation,5792,2025-10-27T18:27:36.349779,"SAP-001,SAP-002",covered
inbox/coordination/CAPABILITIES/chora-base.yaml,config,4802,2025-10-27T18:27:34.261200,SAP-001,covered
inbox/incoming/tasks/README.md,documentation,7155,2025-10-27T18:22:06.647979,"SAP-001,SAP-002",covered
inbox/incoming/coordination/README.md,documentation,7019,2025-10-27T18:22:05.616711,"SAP-001,SAP-002",covered
docs/research/adopter-learnings-mcp-orchestration.md,documentation,13301,2025-10-24T22:49:18.892934,SAP-007,covered
docs/research/adopter-learnings-executable-docs.md,documentation,20620,2025-10-26T11:56:58.385785,SAP-007,covered
docs/research/CLAUDE_Complete.md,documentation,32237,2025-10-25T16:03:27.069951,SAP-007,covered
docs/releases/v2.1.0-release-notes.md,documentation,12366,2025-10-24T22:55:43.483863,SAP-002,covered
docs/releases/v3.1.1-release-notes.md,documentation,9271,2025-10-25T15:15:32.733900,SAP-002,covered
docs/releases/v3.2.0-release-notes.md,documentation,14114,2025-10-25T16:01:15.443324,SAP-002,covered
docs/releases/v3.1.0-release-notes.md,documentation,8836,2025-10-25T14:35:34.464809,SAP-002,covered
docs/releases/v3.0.0-release-notes.md,documentation,13003,2025-10-25T14:10:39.597730,SAP-002,covered
docs/releases/v3.3.0-release-notes.md,documentation,15468,2025-10-25T18:42:36.059764,SAP-002,covered
docs/releases/v3.1-to-v3.2-upgrade.md,documentation,14917,2025-10-25T16:04:26.009913,SAP-002,covered
docs/releases/v2-to-v3-migration.md,documentation,16570,2025-10-25T14:12:16.031678,SAP-002,covered
docs/integration/v3.3.0-integration-plan.md,documentation,26567,2025-10-25T16:26:08.250213,SAP-002,covered
docs/integration/v3.2.0-integration-plan.md,documentation,21004,2025-10-25T16:07:28.326355,SAP-002,covered
docs/inventory/inventory-summary.md,documentation,951,2025-10-28T11:53:27.054328,SAP-000,covered
docs/inventory/EXCLUSION_POLICY.md,documentation,3140,2025-10-28T11:53:58.069261,SAP-000,covered
docs/inventory/directory-structure.md,documentation,4132,2025-10-28T11:53:27.053909,SAP-000,covered
docs/inventory/COHERENCE_REPORT.md,documentation,8400,2025-10-28T11:54:45.698950,SAP-000,covered
docs/inventory/high-priority-review.md,documentation,433,2025-10-28T11:55:01.530393,SAP-000,covered
docs/inventory/uncovered-files-detailed.md,documentation,206,2025-10-28T11:55:01.530227,SAP-000,covered
docs/inventory/README.md,documentation,8642,2025-10-28T11:55:44.542324,"SAP-000,SAP-002",covered
docs/inventory/phase2-findings-and-recommendations.md,documentation,12209,2025-10-28T11:43:14.883830,SAP-000,covered
docs/inventory/sap-coverage-matrix.md,documentation,13496,2025-10-28T11:55:01.529552,SAP-000,covered
docs/reference/writing-executable-howtos.md,documentation,13333,2025-10-27T23:27:25.172024,SAP-007,covered
docs/reference/ecosystem/multi-repo-capability-evolution-to-w3.md,documentation,34057,2025-10-26T23:47:41.198704,SAP-002,covered
docs/reference/ecosystem/ARCHITECTURE_CLARIFICATION.md,documentation,13432,2025-10-26T23:35:50.473573,SAP-002,covered
docs/reference/ecosystem/how-to-setup-mcp-ecosystem.md,documentation,16108,2025-10-26T23:36:20.868320,SAP-002,covered
docs/reference/skilled-awareness/quality-gates.md,documentation,4916,2025-10-27T20:56:57.842745,SAP-000,covered
docs/reference/skilled-awareness/inputs-audit.md,documentation,5860,2025-10-27T20:54:17.390623,SAP-000,covered
docs/reference/skilled-awareness/INDEX.md,documentation,16411,2025-10-28T11:28:24.293978,SAP-000,covered
docs/reference/skilled-awareness/chora-base-sap-roadmap.md,documentation,7759,2025-10-27T22:59:30.988485,SAP-000,covered
docs/reference/skilled-awareness/document-templates.md,documentation,7606,2025-10-27T20:56:21.126207,SAP-000,covered
docs/reference/skilled-awareness/workflow-mapping.md,documentation,5631,2025-10-27T20:56:40.803575,SAP-000,covered
docs/reference/skilled-awareness/copier-audit.md,documentation,2412,2025-10-27T22:59:53.792018,SAP-000,covered
docs/reference/skilled-awareness/automation-scripts/awareness-guide.md,documentation,14735,2025-10-28T01:41:44.648073,SAP-008,covered
docs/reference/skilled-awareness/automation-scripts/adoption-blueprint.md,documentation,22731,2025-10-28T01:43:42.114077,SAP-008,covered
docs/reference/skilled-awareness/automation-scripts/ledger.md,documentation,15442,2025-10-28T01:45:11.656369,SAP-008,covered
docs/reference/skilled-awareness/automation-scripts/protocol-spec.md,documentation,20103,2025-10-28T01:40:23.417616,SAP-008,covered
docs/reference/skilled-awareness/automation-scripts/capability-charter.md,documentation,8500,2025-10-28T01:38:41.887425,SAP-008,covered
docs/reference/skilled-awareness/memory-system/awareness-guide.md,documentation,14635,2025-10-28T01:53:32.341671,SAP-010,covered
docs/reference/skilled-awareness/memory-system/adoption-blueprint.md,documentation,16827,2025-10-28T01:54:49.518925,SAP-010,covered
docs/reference/skilled-awareness/memory-system/ledger.md,documentation,11743,2025-10-28T01:58:15.212553,SAP-010,covered
docs/reference/skilled-awareness/memory-system/protocol-spec.md,documentation,23122,2025-10-28T01:52:12.705360,SAP-010,covered
docs/reference/skilled-awareness/memory-system/capability-charter.md,documentation,7493,2025-10-28T01:50:17.558356,SAP-010,covered
docs/reference/skilled-awareness/testing-framework/awareness-guide.md,documentation,10286,2025-10-28T00:46:34.783160,SAP-004,covered
docs/reference/skilled-awareness/testing-framework/adoption-blueprint.md,documentation,10947,2025-10-28T00:47:28.619643,SAP-004,covered
docs/reference/skilled-awareness/testing-framework/ledger.md,documentation,10095,2025-10-28T00:48:32.908022,SAP-004,covered
docs/reference/skilled-awareness/testing-framework/protocol-spec.md,documentation,15157,2025-10-28T00:45:37.862020,SAP-004,covered
docs/reference/skilled-awareness/testing-framework/capability-charter.md,documentation,12057,2025-10-28T00:44:20.814533,SAP-004,covered
docs/reference/skilled-awareness/sap-framework/awareness-guide.md,documentation,15388,2025-10-27T23:49:58.499853,SAP-000,covered
docs/reference/skilled-awareness/sap-framework/adoption-blueprint.md,documentation,13983,2025-10-27T23:51:18.917151,SAP-000,covered
docs/reference/skilled-awareness/sap-framework/ledger.md,documentation,7011,2025-10-27T23:52:06.805823,SAP-000,covered
docs/reference/skilled-awareness/sap-framework/protocol-spec.md,documentation,24446,2025-10-27T23:48:32.235810,SAP-000,covered
docs/reference/skilled-awareness/sap-framework/capability-charter.md,documentation,11722,2025-10-27T23:46:50.853187,SAP-000,covered
docs/reference/skilled-awareness/metrics-tracking/awareness-guide.md,documentation,2258,2025-10-28T11:26:56.096052,SAP-013,covered
docs/reference/skilled-awareness/metrics-tracking/adoption-blueprint.md,documentation,2791,2025-10-28T11:26:57.196299,SAP-013,covered
docs/reference/skilled-awareness/metrics-tracking/ledger.md,documentation,2930,2025-10-28T11:26:58.396854,SAP-013,covered
docs/reference/skilled-awareness/metrics-tracking/protocol-spec.md,documentation,4271,2025-10-28T11:25:37.744095,SAP-013,covered
docs/reference/skilled-awareness/metrics-tracking/capability-charter.md,documentation,1891,2025-10-28T11:25:36.657557,SAP-013,covered
docs/reference/skilled-awareness/inbox/awareness-guide.md,documentation,6117,2025-10-27T21:40:23.112236,SAP-001,covered
docs/reference/skilled-awareness/inbox/adoption-blueprint.md,documentation,4708,2025-10-27T21:32:24.706985,SAP-001,covered
docs/reference/skilled-awareness/inbox/broadcast-workflow.md,documentation,2063,2025-10-27T21:20:56.150096,SAP-001,covered
docs/reference/skilled-awareness/inbox/adoption-pilot-plan.md,documentation,1790,2025-10-27T21:22:31.128929,SAP-001,covered
docs/reference/skilled-awareness/inbox/README.md,documentation,768,2025-10-27T21:00:04.788086,"SAP-001,SAP-002",covered
docs/reference/skilled-awareness/inbox/dry-run-checklist.md,documentation,2302,2025-10-27T21:32:07.578441,SAP-001,covered
docs/reference/skilled-awareness/inbox/ledger.md,documentation,2786,2025-10-27T23:00:02.317088,SAP-001,covered
docs/reference/skilled-awareness/inbox/open-questions.md,documentation,3711,2025-10-27T21:17:22.450228,SAP-001,covered
docs/reference/skilled-awareness/inbox/protocol-spec.md,documentation,5222,2025-10-27T20:58:47.195952,SAP-001,covered
docs/reference/skilled-awareness/inbox/capability-charter.md,documentation,3007,2025-10-27T20:58:27.759501,SAP-001,covered
docs/reference/skilled-awareness/agent-awareness/awareness-guide.md,documentation,2389,2025-10-28T01:17:02.801171,SAP-009,covered
docs/reference/skilled-awareness/agent-awareness/adoption-blueprint.md,documentation,3527,2025-10-28T01:17:04.077685,SAP-009,covered
docs/reference/skilled-awareness/agent-awareness/ledger.md,documentation,1998,2025-10-28T01:17:05.153329,SAP-009,covered
docs/reference/skilled-awareness/agent-awareness/protocol-spec.md,documentation,9018,2025-10-28T01:16:09.874764,SAP-009,covered
docs/reference/skilled-awareness/agent-awareness/capability-charter.md,documentation,2652,2025-10-28T01:15:17.945132,SAP-009,covered
docs/reference/skilled-awareness/chora-base/awareness-guide.md,documentation,7725,2025-10-28T00:02:25.569729,SAP-002,covered
docs/reference/skilled-awareness/chora-base/adoption-blueprint.md,documentation,7115,2025-10-28T00:03:08.484481,SAP-002,covered
docs/reference/skilled-awareness/chora-base/ledger.md,documentation,9415,2025-10-28T00:04:09.721952,SAP-002,covered
docs/reference/skilled-awareness/chora-base/protocol-spec.md,documentation,33017,2025-10-28T11:28:59.970795,SAP-002,covered
docs/reference/skilled-awareness/chora-base/capability-charter.md,documentation,12828,2025-10-27T23:58:51.039448,SAP-002,covered
docs/reference/skilled-awareness/quality-gates/awareness-guide.md,documentation,1641,2025-10-28T00:57:29.849512,SAP-006,covered
docs/reference/skilled-awareness/quality-gates/adoption-blueprint.md,documentation,2224,2025-10-28T00:57:30.885430,SAP-006,covered
docs/reference/skilled-awareness/quality-gates/ledger.md,documentation,1485,2025-10-28T00:57:31.944141,SAP-006,covered
docs/reference/skilled-awareness/quality-gates/protocol-spec.md,documentation,8973,2025-10-28T00:57:28.819167,SAP-006,covered
docs/reference/skilled-awareness/quality-gates/capability-charter.md,documentation,5122,2025-10-28T00:56:01.598381,SAP-006,covered
docs/reference/skilled-awareness/project-bootstrap/awareness-guide.md,documentation,13055,2025-10-28T00:39:35.671379,SAP-003,covered
docs/reference/skilled-awareness/project-bootstrap/adoption-blueprint.md,documentation,16321,2025-10-28T00:41:01.015562,SAP-003,covered
docs/reference/skilled-awareness/project-bootstrap/ledger.md,documentation,15368,2025-10-28T00:42:31.573861,SAP-003,covered
docs/reference/skilled-awareness/project-bootstrap/protocol-spec.md,documentation,22002,2025-10-28T00:38:19.224510,SAP-003,covered
docs/reference/skilled-awareness/project-bootstrap/capability-charter.md,documentation,12779,2025-10-28T00:36:22.377506,SAP-003,covered
docs/reference/skilled-awareness/docker-operations/awareness-guide.md,documentation,14026,2025-10-28T11:07:11.094723,SAP-011,covered
docs/reference/skilled-awareness/docker-operations/adoption-blueprint.md,documentation,7256,2025-10-28T11:07:53.310622,SAP-011,covered
docs/reference/skilled-awareness/docker-operations/ledger.md,documentation,10447,2025-10-28T11:09:03.017487,SAP-011,covered
docs/reference/skilled-awareness/docker-operations/protocol-spec.md,documentation,29890,2025-10-28T11:05:44.017125,SAP-011,covered
docs/reference/skilled-awareness/docker-operations/capability-charter.md,documentation,13773,2025-10-28T11:03:03.157208,SAP-011,covered
docs/reference/skilled-awareness/development-lifecycle/awareness-guide.md,documentation,18291,2025-10-28T01:34:49.035203,SAP-012,covered
docs/reference/skilled-awareness/development-lifecycle/adoption-blueprint.md,documentation,18000,2025-10-28T01:36:34.273131,SAP-012,covered
docs/reference/skilled-awareness/development-lifecycle/ledger.md,documentation,8770,2025-10-28T01:37:28.760486,SAP-012,covered
docs/reference/skilled-awareness/development-lifecycle/protocol-spec.md,documentation,28777,2025-10-28T01:33:08.388753,SAP-012,covered
docs/reference/skilled-awareness/development-lifecycle/capability-charter.md,documentation,7274,2025-10-28T01:30:46.436040,SAP-012,covered
docs/reference/skilled-awareness/ci-cd-workflows/awareness-guide.md,documentation,1974,2025-10-28T00:55:13.993255,SAP-005,covered
docs/reference/skilled-awareness/ci-cd-workflows/adoption-blueprint.md,documentation,2396,2025-10-28T00:55:15.070355,SAP-005,covered
docs/reference/skilled-awareness/ci-cd-workflows/ledger.md,documentation,1528,2025-10-28T00:55:16.135195,SAP-005,covered
docs/reference/skilled-awareness/ci-cd-workflows/protocol-spec.md,documentation,12331,2025-10-28T00:54:34.478186,SAP-005,covered
docs/reference/skilled-awareness/ci-cd-workflows/capability-charter.md,documentation,6716,2025-10-28T00:53:28.417058,SAP-005,covered
docs/reference/skilled-awareness/documentation-framework/awareness-guide.md,documentation,4196,2025-10-28T01:14:38.137894,SAP-007,covered
docs/reference/skilled-awareness/documentation-framework/adoption-blueprint.md,documentation,4018,2025-10-28T01:14:39.485946,SAP-007,covered
docs/reference/skilled-awareness/documentation-framework/ledger.md,documentation,2248,2025-10-28T01:14:40.542564,SAP-007,covered
docs/reference/skilled-awareness/documentation-framework/protocol-spec.md,documentation,11748,2025-10-28T01:13:39.033719,SAP-007,covered
docs/reference/skilled-awareness/documentation-framework/capability-charter.md,documentation,2378,2025-10-28T01:05:39.198756,SAP-007,covered
static-template/docker/AGENTS.md,documentation,4156,2025-10-25T16:28:25.187212,"SAP-002,SAP-011",covered
static-template/docker/CLAUDE.md,documentation,13027,2025-10-25T18:04:21.283788,SAP-011,covered
static-template/tests/AGENTS.md,documentation,10612,2025-10-25T16:27:58.841250,"SAP-002,SAP-004",covered
static-template/tests/CLAUDE.md,documentation,12346,2025-10-25T18:01:55.280236,SAP-004,covered
static-template/user-docs/README.md,documentation,1185,2025-10-25T15:30:05.123927,"SAP-002,SAP-007",covered
static-template/dev-docs/ANTI_PATTERNS.md,documentation,27823,2025-10-25T14:43:11.924613,SAP-007,covered
static-template/dev-docs/README.md,documentation,1229,2025-10-25T15:30:03.864599,"SAP-002,SAP-007",covered
static-template/dev-docs/CONTRIBUTING.md,documentation,16655,2025-10-23T00:18:02.260343,SAP-007,covered
static-template/scripts/setup.sh,code,3962,2025-10-23T00:21:42.750043,SAP-008,covered
static-template/scripts/prepare-release.sh,code,5041,2025-10-23T00:21:42.759724,SAP-008,covered
static-template/scripts/bump-version.sh,code,3873,2025-10-23T00:21:42.744997,SAP-008,covered
static-template/scripts/extract_tests.py,code,15566,2025-10-23T11:05:06.140783,SAP-008,covered
static-template/scripts/integration-test.sh,code,4981,2025-10-23T00:21:42.769324,SAP-008,covered
static-template/scripts/diagnose.sh,code,6450,2025-10-23T00:21:42.782021,SAP-008,covered
static-template/scripts/build-dist.sh,code,2988,2025-10-23T00:21:42.673947,SAP-008,covered
static-template/scripts/venv-clean.sh,code,1119,2025-10-23T00:21:42.771783,SAP-008,covered
static-template/scripts/query_docs.py,code,10089,2025-10-23T00:18:02.296250,SAP-008,covered
static-template/scripts/mcp-tool.sh,code,1403,2025-10-23T00:21:42.729861,SAP-008,covered
static-template/scripts/generate_docs_map.py,code,8994,2025-10-23T00:18:02.318519,SAP-008,covered
static-template/scripts/validate_mcp_names.py,code,10424,2025-10-27T22:37:04.108592,SAP-008,covered
static-template/scripts/publish-prod.sh,code,4542,2025-10-23T00:21:42.777372,SAP-008,covered
static-template/scripts/validate_docs.py,code,11625,2025-10-23T00:18:02.367228,SAP-008,covered
static-template/scripts/venv-create.sh,code,2617,2025-10-23T00:21:42.702089,SAP-008,covered
static-template/scripts/docs_metrics.py,code,14472,2025-10-23T00:18:02.342844,SAP-008,covered
static-template/scripts/dev-server.sh,code,1906,2025-10-23T00:21:42.724041,SAP-008,covered
static-template/scripts/rollback-dev.sh,code,5248,2025-10-23T00:21:42.713275,SAP-008,covered
static-template/scripts/pre-merge.sh,code,5232,2025-10-23T00:21:42.664732,SAP-008,covered
static-template/scripts/AGENTS.md,documentation,7859,2025-10-25T16:28:33.571313,"SAP-002,SAP-008",covered
static-template/scripts/publish-test.sh,code,3379,2025-10-23T00:21:42.754834,SAP-008,covered
static-template/scripts/migrate_namespace.sh,code,7563,2025-10-23T00:21:42.764707,SAP-008,covered
static-template/scripts/handoff.sh,code,5484,2025-10-23T00:21:42.697495,SAP-008,covered
static-template/scripts/verify-stable.sh,code,3724,2025-10-23T00:21:42.679801,SAP-008,covered
static-template/scripts/check-env.sh,code,4927,2025-10-23T00:21:42.785439,SAP-008,covered
static-template/scripts/CLAUDE.md,documentation,14438,2025-10-25T18:05:33.734672,SAP-008,covered
static-template/scripts/smoke-test.sh,code,1036,2025-10-23T00:21:42.734939,SAP-008,covered
static-template/.github/dependabot.yml,config,1507,2025-10-17T21:41:53.914980,SAP-005,covered
static-template/project-docs/README.md,documentation,2403,2025-10-25T15:54:13.496670,"SAP-002,SAP-007",covered
static-template/tests/utils/test_validation.py,code,17265,2025-10-24T22:10:17.533705,SAP-004,covered
static-template/tests/utils/test_errors.py,code,11473,2025-10-24T22:19:06.414404,SAP-004,covered
static-template/tests/utils/test_persistence.py,code,15713,2025-10-24T22:25:30.142138,SAP-004,covered
static-template/tests/utils/__init__.py,code,86,2025-10-24T22:10:26.991611,SAP-004,covered
static-template/tests/utils/test_responses.py,code,12014,2025-10-24T22:16:15.013116,SAP-004,covered
static-template/user-docs/explanation/vision-driven-development.md,documentation,17882,2025-10-24T21:31:43.753831,SAP-007,covered
static-template/user-docs/how-to/standardize-responses.md,documentation,16133,2025-10-27T22:51:08.416584,SAP-007,covered
static-template/user-docs/how-to/persist-application-state.md,documentation,18970,2025-10-27T22:50:54.817694,SAP-007,covered
static-template/user-docs/how-to/01-generate-new-mcp-server.md,documentation,2348,2025-10-27T22:38:40.959535,SAP-007,covered
static-template/user-docs/how-to/use-input-validation.md,documentation,12063,2025-10-27T22:50:44.008149,SAP-007,covered
static-template/user-docs/how-to/improve-error-messages.md,documentation,19354,2025-10-27T22:50:31.337929,SAP-007,covered
static-template/user-docs/how-to/03-docker-deployment.md,documentation,12337,2025-10-27T22:54:58.939293,SAP-007,covered
static-template/user-docs/how-to/06-maintain-vision-documents.md,documentation,17888,2025-10-27T22:55:30.173156,SAP-007,covered
static-template/user-docs/how-to/02-rip-and-replace-existing-server.md,documentation,7617,2025-10-27T22:53:40.747354,SAP-007,covered
static-template/user-docs/reference/template-configuration.md,documentation,6394,2025-10-27T22:39:07.908318,SAP-007,covered
static-template/user-docs/reference/mcp-naming-best-practices.md,documentation,14236,2025-10-27T22:52:20.960119,SAP-007,covered
static-template/user-docs/reference/python-patterns.md,documentation,25025,2025-10-27T22:50:18.708703,SAP-007,covered
static-template/user-docs/reference/mcp-conventions.md,documentation,16647,2025-10-21T16:53:49.444379,SAP-007,covered
static-template/user-docs/reference/rip-and-replace-decision-matrix.md,documentation,6227,2025-10-27T22:53:11.531649,SAP-007,covered
static-template/dev-docs/workflows/TDD_WORKFLOW.md,documentation,28162,2025-10-25T14:37:11.836208,"SAP-007,SAP-012",covered
static-template/dev-docs/workflows/DEVELOPMENT_LIFECYCLE.md,documentation,21092,2025-10-25T14:39:11.036918,"SAP-007,SAP-012",covered
static-template/dev-docs/workflows/BDD_WORKFLOW.md,documentation,29343,2025-10-25T14:34:56.102086,"SAP-007,SAP-012",covered
static-template/dev-docs/workflows/DEVELOPMENT_PROCESS.md,documentation,31271,2025-10-25T14:17:22.342478,"SAP-007,SAP-012",covered
static-template/dev-docs/workflows/README.md,documentation,6307,2025-10-25T15:53:01.218802,"SAP-002,SAP-007,SAP-012",covered
static-template/dev-docs/workflows/DDD_WORKFLOW.md,documentation,21774,2025-10-25T14:19:24.948024,"SAP-007,SAP-012",covered
static-template/dev-docs/vision/CAPABILITY_EVOLUTION.example.md,documentation,26590,2025-10-23T00:18:02.272503,SAP-007,covered
static-template/dev-docs/vision/README.md,documentation,13619,2025-10-25T15:30:03.866491,"SAP-002,SAP-007",covered
static-template/.chora/memory/README.md,documentation,13582,2025-10-25T15:30:03.701189,"SAP-002,SAP-010",covered
static-template/.chora/memory/AGENTS.md,documentation,36268,2025-10-25T16:28:16.268406,"SAP-002,SAP-010",covered
static-template/.chora/memory/CLAUDE.md,documentation,12870,2025-10-25T18:03:09.865105,SAP-010,covered
static-template/.github/workflows/release.yml,config,4882,2025-10-23T00:18:02.478105,SAP-005,covered
static-template/.github/workflows/lint.yml,config,1022,2025-10-23T00:18:02.463129,SAP-005,covered
static-template/.github/workflows/test.yml,config,1598,2025-10-23T00:18:02.456079,SAP-005,covered
static-template/.github/workflows/codeql.yml,config,979,2025-10-23T00:18:02.458722,SAP-005,covered
static-template/.github/workflows/dependency-review.yml,config,1405,2025-10-23T00:18:02.481383,SAP-005,covered
static-template/.github/workflows/dependabot-automerge.yml,config,2617,2025-10-23T00:23:17.681965,SAP-005,covered
static-template/.github/workflows/docs-quality.yml,config,3385,2025-10-23T00:18:02.485351,SAP-005,covered
static-template/.github/workflows/smoke.yml,config,1470,2025-10-23T00:18:02.450861,SAP-005,covered
static-template/project-docs/metrics/PROCESS_METRICS.md,documentation,22692,2025-10-25T14:56:17.607417,"SAP-007,SAP-013",covered
static-template/project-docs/releases/upgrade-guide-template.md,documentation,10715,2025-10-24T21:32:11.691584,"SAP-002,SAP-007",covered
